series_type,date,ron95,ron97,diesel,diesel_eastmsia,ron95_budi95,ron95_skps
level,2017-03-30,2.13,2.41,2.11,2.11,,
level,2017-04-06,2.16,2.43,2.08,2.08,,
change_weekly,2017-04-06,0.03000000000000025,0.020000000000000018,-0.029999999999999805,-0.029999999999999805,,
level,2017-04-13,2.24,2.52,2.16,2.16,,
change_weekly,2017-04-13,0.08000000000000007,0.08999999999999986,0.08000000000000007,0.08000000000000007,,
level,2017-04-20,2.27,2.54,2.21,2.21,,
change_weekly,2017-04-20,0.029999999999999805,0.020000000000000018,0.04999999999999982,0.04999999999999982,,
level,2017-04-27,2.21,2.49,2.14,2.14,,
change_weekly,2017-04-27,-0.06000000000000005,-0.04999999999999982,-0.06999999999999984,-0.06999999999999984,,
level,2017-05-04,2.11,2.39,2.08,2.08,,
change_weekly,2017-05-04,-0.10000000000000009,-0.10000000000000009,-0.06000000000000005,-0.06000000000000005,,
level,2017-05-11,2.01,2.29,1.95,1.95,,
change_weekly,2017-05-11,-0.10000000000000009,-0.10000000000000009,-0.13000000000000012,-0.13000000000000012,,
level,2017-05-18,2.08,2.36,1.99,1.99,,
change_weekly,2017-05-18,0.07000000000000028,0.06999999999999984,0.040000000000000036,0.040000000000000036,,
level,2017-05-25,2.12,2.4,2.03,2.03,,
change_weekly,2017-05-25,0.040000000000000036,0.040000000000000036,0.039999999999999813,0.039999999999999813,,
level,2017-06-01,2.1,2.38,2.02,2.02,,
change_weekly,2017-06-01,-0.020000000000000018,-0.020000000000000018,-0.009999999999999787,-0.009999999999999787,,
level,2017-06-08,2.05,2.31,1.94,1.94,,
change_weekly,2017-06-08,-0.050000000000000266,-0.06999999999999984,-0.08000000000000007,-0.08000000000000007,,
level,2017-06-15,1.98,2.24,1.88,1.88,,
change_weekly,2017-06-15,-0.06999999999999984,-0.06999999999999984,-0.06000000000000005,-0.06000000000000005,,
level,2017-06-22,1.91,2.17,1.88,1.88,,
change_weekly,2017-06-22,-0.07000000000000006,-0.07000000000000028,0.0,0.0,,
level,2017-06-29,1.89,2.15,1.84,1.84,,
change_weekly,2017-06-29,-0.020000000000000018,-0.020000000000000018,-0.039999999999999813,-0.039999999999999813,,
level,2017-07-06,1.93,2.19,1.91,1.91,,
change_weekly,2017-07-06,0.040000000000000036,0.040000000000000036,0.06999999999999984,0.06999999999999984,,
level,2017-07-13,1.97,2.22,1.96,1.96,,
change_weekly,2017-07-13,0.040000000000000036,0.03000000000000025,0.050000000000000044,0.050000000000000044,,
level,2017-07-20,1.97,2.22,1.96,1.96,,
change_weekly,2017-07-20,0.0,0.0,0.0,0.0,,
level,2017-07-27,2.03,2.28,1.99,1.99,,
change_weekly,2017-07-27,0.05999999999999983,0.05999999999999961,0.030000000000000027,0.030000000000000027,,
level,2017-08-03,2.07,2.32,2.05,2.05,,
change_weekly,2017-08-03,0.040000000000000036,0.040000000000000036,0.05999999999999983,0.05999999999999983,,
level,2017-08-10,2.12,2.39,2.06,2.06,,
change_weekly,2017-08-10,0.050000000000000266,0.07000000000000028,0.010000000000000231,0.010000000000000231,,
level,2017-08-17,2.15,2.43,2.04,2.04,,
change_weekly,2017-08-17,0.029999999999999805,0.040000000000000036,-0.020000000000000018,-0.020000000000000018,,
level,2017-08-24,2.15,2.43,2.01,2.01,,
change_weekly,2017-08-24,0.0,0.0,-0.03000000000000025,-0.03000000000000025,,
level,2017-08-31,2.16,2.44,2.04,2.04,,
change_weekly,2017-08-31,0.010000000000000231,0.009999999999999787,0.03000000000000025,0.03000000000000025,,
level,2017-09-07,2.2,2.48,2.05,2.05,,
change_weekly,2017-09-07,0.040000000000000036,0.040000000000000036,0.009999999999999787,0.009999999999999787,,
level,2017-09-14,2.21,2.52,2.14,2.14,,
change_weekly,2017-09-14,0.009999999999999787,0.040000000000000036,0.0900000000000003,0.0900000000000003,,
level,2017-09-21,2.19,2.49,2.1,2.1,,
change_weekly,2017-09-21,-0.020000000000000018,-0.029999999999999805,-0.040000000000000036,-0.040000000000000036,,
level,2017-09-28,2.16,2.46,2.12,2.12,,
change_weekly,2017-09-28,-0.029999999999999805,-0.03000000000000025,0.020000000000000018,0.020000000000000018,,
level,2017-10-05,2.19,2.49,2.17,2.17,,
change_weekly,2017-10-05,0.029999999999999805,0.03000000000000025,0.04999999999999982,0.04999999999999982,,
level,2017-10-12,2.16,2.46,2.1,2.1,,
change_weekly,2017-10-12,-0.029999999999999805,-0.03000000000000025,-0.06999999999999984,-0.06999999999999984,,
level,2017-10-19,2.17,2.47,2.11,2.11,,
change_weekly,2017-10-19,0.009999999999999787,0.010000000000000231,0.009999999999999787,0.009999999999999787,,
level,2017-10-26,2.2,2.5,2.13,2.13,,
change_weekly,2017-10-26,0.03000000000000025,0.029999999999999805,0.020000000000000018,0.020000000000000018,,
level,2017-11-02,2.24,2.54,2.17,2.17,,
change_weekly,2017-11-02,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.040000000000000036,,
level,2017-11-09,2.31,2.6,2.2,2.2,,
change_weekly,2017-11-09,0.06999999999999984,0.06000000000000005,0.03000000000000025,0.03000000000000025,,
level,2017-11-16,2.38,2.66,2.25,2.25,,
change_weekly,2017-11-16,0.06999999999999984,0.06000000000000005,0.04999999999999982,0.04999999999999982,,
level,2017-11-23,2.3,2.58,2.23,2.23,,
