date,indicator,USD,EUR,JPY,GBP,SGD,AUD,CAD,CNY,CHF,THB,IDR,VND,KHR,MMK,PHP,BND,KRW,HKD,TWD,INR,PKR,NPR,SAR,AED,EGP,NZD,XDR
1997-01-01,avg,2.4912,,0.0212,4.151,1.7724,,,,1.7956,,,,,,,,,0.3219,,,,,,,,,3.5339
1997-01-01,end,2.4862,,0.020471,4.0376,1.7664,,,,1.7481,,,,,,,,,0.321,,,,,,,,,3.4691
1997-01-01,high,2.5265,,0.021867,4.3188,1.8059,,,,1.8808,,,,,,,,,0.3267,,,,,,,,,3.6385
1997-01-01,low,2.4717,,0.020469,4.0205,1.7604,,,,1.7352,,,,,,,,,0.3194,,,,,,,,,3.469
1997-01-01,start,2.5265,,0.021792,4.3188,1.8059,,,,1.8808,,,,,,,,,0.3267,,,,,,,,,3.6385
1997-02-01,avg,2.4861,,0.0202,4.0368,1.7516,,,,1.7083,,,,,,,,,0.3209,,,,,,,,,3.4392
1997-02-01,end,2.4838,,0.020481,4.0555,1.7403,,,,1.6794,,,,,,,,,0.3207,,,,,,,,,3.4458
1997-02-01,high,2.4935,,0.020481,4.0925,1.7699,,,,1.7567,,,,,,,,,0.3217,,,,,,,,,3.4724
1997-02-01,low,2.4773,,0.019948,3.9775,1.7403,,,,1.6794,,,,,,,,,0.3199,,,,,,,,,3.4208
1997-02-01,start,2.4836,,0.02045,3.9775,1.7638,,,,1.7429,,,,,,,,,0.3205,,,,,,,,,3.4543
1997-03-01,avg,2.4769,,0.0202,3.987,1.7245,,,,1.6923,,,,,,,,,0.3198,,,,,,,,,3.4128
1997-03-01,end,2.479,,0.019992,4.0501,1.7158,,,,1.7067,,,,,,,,,0.3199,,,,,,,,,3.4381
1997-03-01,high,2.4835,,0.02062,4.0501,1.7426,,,,1.7143,,,,,,,,,0.3207,,,,,,,,,3.4381
1997-03-01,low,2.4719,,0.019971,3.9353,1.7121,,,,1.6641,,,,,,,,,0.3191,,,,,,,,,3.3939
1997-03-01,start,2.4835,,0.02062,4.0429,1.7426,,,,1.6798,,,,,,,,,0.3207,,,,,,,,,3.4366
1997-04-01,avg,2.5001,,0.0199,4.0776,1.735,,,,1.7133,,,,,,,,,0.3221,,,,,,,,,3.4306
1997-04-01,end,2.5144,,0.01983,4.0834,1.7384,,,,1.7041,,,,,,,,,0.3245,,,,,,,,,3.4298
