notif_no,product,company,date_notif
NOT240605722K,HAUS BIRDNEST BEAUTY ELIXIR,GIM COSMETIC INDUSTRIES SDN BHD,2024-06-25
NOT240605625K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (420),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605624K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (410),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605623K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (400),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605621K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (390),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605619K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (385),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605617K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (380),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605615K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (370),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605613K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (360),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605612K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (350),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605611K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (345),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605610K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (340),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605609K,FENTY BEAUTY - PRO FILT'R SOFT MATTE POWDER FOUNDATION - (330),BEAUTY IN MOTION SDN. BHD.,2024-06-25
NOT240605789K,AS Professional Therapy Shampoo (Anti-Dandruff),AS Beauty Marketing,2024-06-25
