company,state,postcode,phone,address
BEST COSMETICS LABORATORIES SDN. BHD.,Selangor,47100,03-58826299,"LOT 61 & 62, JALAN LAYANG-LAYANG 2, PUCHONG JAYA INDUSTRIAL PARK,"
SOUTHERN LION SDN. BHD,Johor,81100,07-3546042,"NO. 3, JALAN FIRMA 2  TEBRAU INDUSTRIAL ESTATE"
WAYCO MANUFACTURING (M) SDN. BHD.,Johor,81100,07-3355288,"11, Jalan Dewami 3, KAWASAN PERINDUSTRIAN DEWAMI, 0133984821"
FULIAN (M) SENDIRIAN BERHAD,Pulau Pinang,14100,604-5015666/5015667/5015668,"969, LORONG PERINDUSTRIAN BUKIT MINYAK 16 KAWASAN PERINDUSTRIAN BUKIT MINYAK"
NUTRAHERBS SDN. BHD.,Selangor,40150,603-7846 7896/7846 1591,"NO. 15, JALAN SAUJANA INDAH 10 TAMAN PERINDUSTRIAN SAUJANA INDAH SEKSYEN U2, TTDI JAYA"
PRODUCTS MANUFACTURING SDN. BHD.,W.P. Kuala Lumpur,52000,03-62528298 (ext 18 for Seah),"PT 31-A1, JALAN 5/32A, INDUSTRIAL AREA, 6 1/2 MILES, JALAN KEPONG"
OWI LAB (M) SDN. BHD.,Selangor,47600,0331627335,"NO. 32, 34, 36 & 38, JALAN USJ 1/15 TAMAN PERINDUSTRIAN USJ 1"
YOO FUNG HONG SOAP FACTORY SDN. BHD.,Johor,81900,07-8831330,"NO. 50, JALAN KEMAJUAN,  TAMAN PERINDUSTRIAN KOTA TINGGI"
ELPAR HERBS SDN. BHD.,Kedah,08000,04-4421126,"NO. C35, JALAN 2A-4 KAWASAN PERUSAHAAN SUNGAI LALANG"
BIO BOTANA INTERNATIONAL SDN. BHD.,,,06-3359607,"NO. 6 & 8, JALAN IMJ 5 TAMAN PERINDUSTRIAN MALIM JAYA"
Biotech Manufacturing,Selangor,40150,03-78465219,"NO. 25 - 29, JALAN MARIKH U5/175, BANDAR PINGGIRAN SUBANG, SECTION U5,"
WEI LIAM COSTOTECH SDN. BHD.,Selangor,43300,603 - 8961 4089,"NO. 35, JALAN TAMING LIMA, TAMAN TAMING JAYA,"
BODIBASIXS MANUFACTURING SDN. BHD.,Selangor,41050,03-33926529,"LOT 5011 & 5034, JALAN TERATAI, BATU 5 1/2, OFF JALAN MERU"
AVEBE TRADING,Melaka,77200,06-5210561,"JA 7639, TAMAN IKS, AIR PANAS,"
LAM SOON EDIBLE OILS SDN. BHD.,Selangor,42500,03-31222585,"LOT 6, JALAN WAJA 15, KAWASAN PERINDUSTRIAN TELOK PANGLIMA GARANG,"
ENG KAH ENTERPRISE SDN. BHD.,Pulau Pinang,11900,04-6435180,"PLOT 95 & 97, HALA KAMPUNG JAWA 2, KAWASAN PERINDUSTRIAN BAYAN LEPAS,"
WIPRO MANUFACTURING (LDW) SDN. BHD.,Selangor,43000,03-8733 3878,"LOT 2297, BUKIT ANGKAT, SUNGAI CHUA,"
CYLIN COSMETIC SDN. BHD.,Johor,83610,06-9883815,"97, MAIN ROAD  SUNGAI KELAT, SEMERAH"
FULIJAYA MANUFACTURING SDN. BHD.,Kedah,09000,04-4843024,"30, LORONG MAKMUR 13/1 TAMAN MAKMUR INDUSTRIAL ESTATE"
AMLION TOOTHPASTE MFG. SDN. BHD.,Selangor,47810,03-6156 9818,"LOT 4, GATE A, JALAN TEKNOLOGI 3/6, SEK. 3, TAMAN SAINS SELANGOR 1, KOTA DAMANSARA,"
AF MANUFACTURING SERVICES SDN. BHD.,Selangor,47120,03-80621012,"NO. 18, JALAN BP4, BANDAR BUKIT PUCHONG,"
GERMALAB CORPORATION (M) SDN. BHD.,Selangor,40150,03-7848 3228,"NO. 33, 35 & 37, JALAN APOLLO U5/188 BANDAR PINGGIRAN SUBANG"
FANDA HYGIENE SDN. BHD.,W.P. Kuala Lumpur,52100,03-62514321,"NO. 98, JALAN 11/34B, SRI ENDARAN INDUSTRIAL PARK, OFF BATU 7, KEPONG,"
VIVADERM RESOURCES SDN. BHD.,Selangor,47100,0380624116,"A-2-20, KOMPLEKS INDUSTRI PUCHONG NO. 1, JALAN TPP1/6 TAMAN PERINDUSTRIAN PUCHONG,"
SKY RESOURCES SDN. BHD.,Pulau Pinang,14000,04-5015188,"NO. 1720, MK 11, LORONG PERUSAHAAN UTAMA 1, KWSN PERINDUSTRIAN BUKIT TENGAH,"
INCA ENTERPRISE,Selangor,43300,013-3904368,"NO. 26 & 28, JALAN 6/2, TAMAN INDUSTRI SELESA JAYA,"
COSPAC SDN BHD,,,,P.T. NO. 2146
COSMETECH MANUFACTURING,Selangor,47600,03-80606681,"14, 16, 18 JALAN TPP5/3, TMN PERINDUSTRIAN PUCHONG, SEKSYEN 5"
TENDER PRODUCTS SDN. BHD.,Selangor,68100,03-61874328,"14 & 16, LORONG PERUSAHAAN RINGAN 1 BATU CAVES LIGHT INDUSTRIAL AREA"
TIDY NON-WOVEN SDN. BHD.,Johor,84000,06-955 6791,"K76, PTD (PLO 160), Jalan Perindustrian 10, Kawasan Perindustrian Tanjung Agas"
HALEX WOOLTON (M) SDN BHD,Johor,81200,07-2324388,"NO.9, JALAN TARUKA TAMPOI INDUSTRIAL ESTATE"
BIOTECH FUSION SDN BHD,Negeri Sembilan,70200,067648687,"NO. 30, JALAN LOMBONG EMAS 12, SEREMBAN LIGHT INDUSTRIAL PARK 2, JALAN TUN DR ISMAIL"
MAYTECK LIFE INDUSTRIES SDN. BHD.,Johor,84700,06-9767221,"PTD 11682, KAWASAN PERINDUSTRIAN GRISEK"
PERUSAHAAN MAJU,Pulau Pinang,14200,04-5822463,"NO. 7 & 9, LORONG SERULING 2 KAWASAN PERINDUSTRIAN VALDOR"
AMPLE EFFECT SDN. BHD.,Selangor,43500,03-87242911,"NO.15, JALAN MEGA A, TAMAN INDUSTRI MEGA,"
SIDRATUL ENTERPRISE,Perak,33010,013-5212516,"NO. 12, JALAN INDUSTRI 1 TAMAN PERINDUSTRIAN IKS MIEL"
BUMI COSMETIC MANUFACTURING SDN. BHD.,Johor,81200,07-2383125,"35, JALAN BAYU 2/3 KAWASAN PERINDUSTRIAN TAMPOI JAYA"
DM CEKAP SDN BHD,Selangor,68100,03-89645168,"NO. 30, JALAN SBC 5 TAMAN SRI BATU CAVES"
Sirim Berhad,Selangor,40000,03-55446000,"PUSAT INKUBATOR SATELIT SIRIM BERHAD, LOT 20, KAWASAN MIEL FASA 2, JALAN BEREMBAN 15/12,"
WOLECO HOTEL SUPPLIES SDN BHD,Johor,81800,07-8635890,"NO. 15 & 17, JALAN MAHIR 5, KAWASAN PERINDUSTRIAN CEMERLANG,"
ENG KAH ENTERPRISE (KL) SDN.BHD.,Negeri Sembilan,71800,06-7999121,"LOT 152, JALAN PERMATA 1, ARAB MALAYSIAN INDUSTRIAL PARK,"
DK LABORATORIES (M) SDN. BHD.,Perak,30020,05-5274080,"PLOT NO. 3, JALAN INDUSTRI 3 ZON PERDAGANGAN BEBAS JELAPANG 2"
ESELON SDN BHD,,,,"11A & 15, JALAN USAHAJAYA PERMATANG TINGGI"
MAESTRO LABORATORIES SDN. BHD.,Johor,84800,606-9766598,"LOT 7370, JALAN TAMAN BAHAGIA, BATU 19, SENGKANG, BUKIT GAMBIR,"
BEAUTY LINE SKINCARE & COSMETIC SDN BHD,Melaka,75250,06-3357733,"NO. 8, JALAN IMJ 1 TAMAN INDUSTRI MALIM JAYA"
LOLLA INDUSTRIES (MALAYSIA) SDN. BHD.,Melaka,75350,06-3370496,"NO. 12A & 16, JALAN MJ 48, TAMAN MERDEKA JAYA,"
Earth-Nature Biotech Sdn. Bhd.,Selangor,43300,603-8961 5013 / 6421,"NO 24, JLN TAMING 9, KAWASAN PERINDUSTRIAN TAMING JAYA,"
Cosmeteq Skincare Ventures Sdn Bhd,Pulau Pinang,14100,0,"2008, KAW. PERIND. RINGAN ASAS JAYA JALAN BUKIT MINYAK"
DYNACOSMOS CARE PRODUCTS SDN. BHD.,Pulau Pinang,14100,604-5021861,"13 &15, LORONG IKS JURU 7, TMN INDUSTRI RINGAN JURU"
BIO HERBS LABORATORIES (M) SDN BHD,Selangor,47810,03-7880 0009,"NO. 6, JALAN PJU 3/46 KAWASAN PERINDUSTRIAN SUNWAY DAMANSARA"
Valiant Lady Sdn. Bhd.,Selangor,47810,603-61563622,"NO. 8, JALAN TEKNOLOGI 3/1, SEKSYEN 3, KOTA DAMANSARA"
HR MANUFACTURING SDN.BHD,Kedah,05710,04-7711448,"LOT 808, JALAN KAMPUNG BATIN, MERGONG,"
Leivy Laboratories Sdn Bhd,Selangor,43300,03-8961 7277,"LOT 1870, JALAN KPB 8, KAWASAN PERINDUSTRIAN KG. BARU, BALAKONG,"
Izer Sdn Bhd,Selangor,43200,60390768826,"Lot 24, Jalan 1, Cheras Jaya"
MASE INDUSTRIES SDN. BHD.,Johor,81200,07-2322123,"NO. 4, JALAN KEMPAS 5/1  KAWASAN PERINDUSTRIAN JALAN KEMPAS"
JOHNSON & JOHNSON SDN. BHD.,Selangor,46050,03-76614500,"LOT 3 & 5,  JALAN TANDANG"
