license_no,company,state,postcode,phone,address,license_year,osa_code
MALLI20260827,BIONION SDN BHD,Selangor,40460,03-5879 7707,"No. 1, Jalan Sungai Jeluh 32/192, Kawasan Perindustrian Kemuning, Seksyen 32, SHAH ALAM",2026,954221
MALLI20261310,QNET (M) SDN. BHD.,Selangor,46050,+603-79679888,"LEVEL 2, QI TOWER, PJ8, NO. 23, JALAN BARAT, SECTION 8, , PETALING JAYA",2026,56272
MALLI20260904,HNB ALLIANCE SDN. BHD.,Selangor,47130,0378808559,"NO. 6, JALAN INDUSTRI MAS 3, TAMAN MAS, , PUCHONG",2026,1127685
MALLI20260907,Naturally Plus Malaysia Sdn. Bhd.,W.P. Kuala Lumpur,50100,03-27830000,"Unit 5.02, 5th Floor, Menara Multi-Purpose, Capital Square, No. 8, Jalan Munshi Abdullah, KUALA LUMPUR",2026,75955
MALLI20260902,TEEPHAM MEDICAL SDN. BHD.,Pulau Pinang,13400,,"6422, JALAN PERMATANG PAUH, KAWASAN PERINDUSTRIAN MAK MANDIN, , BUTTERWORTH",2026,1321122
MALLI20260877,ASPEYA MALAYSIA SDN. BHD.,Selangor,47800,,"LEVEL 15, 1 FIRST AVENUE, 2A DATARAN BANDAR UTAMA, , PETALING JAYA",2026,1316000
MALLI20261266,TICI WORLD SDN. BHD.,W.P. Kuala Lumpur,56000,03-91716266,"17, Jalan Danau Lumayan, Danau Lumayan Business Park, Cheras, KUALA LUMPUR",2026,75805
MALLI20261265,GREEN HERB BIOTECH SDN. BHD.,Melaka,75450,0182357980,"NO. 2, JALAN TASIK UTAMA 50, KAWASAN PERINDUSTRIAN TAMAN TASIK UTAMA, AYER KEROH, BUKIT KATIL, MELAKA TENGAH",2026,1128791
MALLI20260984A,VIATRIS SDN. BHD.,Selangor,47400,03-7733 8005,"15-03 & 15-04, LEVEL 15, IMAZIUM, NO. 8, JALAN SS21/37, DAMANSARA UPTOWN, PETALING JAYA",2026,1192911
MALLI20260993A,SM PHARMACEUTICALS SDN. BHD.,Kedah,08000,04-4411801,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, , SUNGAI PETANI",2026,859
