license_no,company,state,postcode,phone,address,license_year,osa_code
MALLP20260961,F.A. HERBS SDN.BHD.,Selangor,45000,0332791855,"LOT 571, JALAN BUKIT BELIMBING,, , , KUALA SELANGOR",2026,2357
MALLP20261128,MH SAUJANA ENTERPRISE,Kedah,07000,012-4694913,"Lot 295, Kawasan Industri KEDA, Wang Tok Rendong, Jalan Air Hangat, Kuah, , LANGKAWI",2026,1020128
MALLP20260964,NATURE'S GRACE (M) SDN. BHD.,Melaka,75350,06-2812222,"NO. 13 & 15, JALAN JASA MERDEKA 4,, TAMAN DATUK TAMBY CHIK KARIM, , BATU BERENDAM",2026,46839
MALLP20260823,Bioalpha International Sdn. Bhd.,Selangor,43650,03-8925 1222,"No. 10, Jalan P/9A, Seksyen 13, , , BANDAR BARU BANGI",2026,1020112
MALLP20260966,DZR PHARMA MANUFACTURE SDN. BHD.,Kedah,06000,049164549,"LOT 13, IKS KEDA NAPOH, , JITRA",2026,1114057
MALLP20260821,CHUAN ANN TONG MEDICAL HALL,Johor,83000,07-4349042 / 019-7656565 / 012-7255255,"NO. 20, JALAN SRI SULONG,, TAMAN PERINDUSTRIAN SRI SULONG, , BATU PAHAT",2026,75274
MALLP20260817,FURLEY BIOEXTRACTS SDN. BHD.,Selangor,43500,0387243280,"7, JALAN VILLARAYA, VILLARAYA INDUSTRIAL PARK 3, BT. 23, JALAN SUNGAI LALANG, , , SEMENYIH",2026,943166
MALLP20260867A,Dexchem Industries Sdn Bhd,Pulau Pinang,14000,04-5518000,"NO. 6 & 8, JALAN INDUSTRI CHEROK TOKUN 2, TAMAN INDUSTRI CHEROK TOKUN, , BUKIT MERTAJAM",2026,1109537
MALLP20260819,MAJOR INTEREST SDN BHD,Kedah,08000,04-4420905,"D-39, Jalan 2B-1, Kawasan Perusahaan Sungai Lalang, , SUNGAI PETANI",2026,936760
MALLP20261215,NUSANTARA MAJU ENTERPRISE,Kedah,07000,04-9559233,"LOT 298, KAW. PERINDUSTRIAN KEDA, WANG TOK RENDONG, JALAN AIR HANGAT, , LANGKAWI",2026,1019617
MALLP20262339,Wells Products Industry Sdn Bhd,Selangor,41200,0122387406,"No. 3, Lot 6, Lorong Seruling 59/2, KS2, Taman Perindustrian Klang Jaya, , KLANG",2026,949553
MALLP20260781,LONNIX (M) SDN. BHD.,Melaka,75250,06-3363377,"NO. 10, JALAN TTC 26, TAMAN TEKNOLOGI CHENG, ,",2026,2467
MALLP20260783,Halagel Plant (M) Sdn. Bhd.,Kedah,08000,04-4481288,"A137, JALAN 2B, KAWASAN PERUSAHAAN MIEL SG. LALANG, , SUNGAI PETANI",2026,1020110
MALLP20260782,SYARIKAT SAFETY MEDICAL,W.P. Kuala Lumpur,52100,0362517926,"NO. 48-2 & 50-2, JALAN 13/34A, KEPONG ENTREPRENEURS PARK, OFF JALAN KEPONG, KUALA LUMPUR",2026,5552
MALLP20260820A,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.,Pulau Pinang,11900,04-6434462,"PLOT 14, LEBUHRAYA KG. JAWA, , BAYAN LEPAS",2026,56580
MALLP20260732,HERBAL LAND MANUFACTURING SDN BHD,Perak,31450,052823823,"15-21, HALA PERUSAHAAN KLEDANG UTARA 2, MENGLEMBU INDUSTRIAL PARK, , IPOH",2026,2941
MALLP20260955A,SM PHARMACEUTICALS SDN. BHD.,Kedah,08000,04-4411801,"LOT 88, SUNGAI PETANI INDUSTRIAL ESTATE, , SUNGAI PETANI",2026,858
MALLP20260894,UNISON NUTRACEUTICALS SDN. BHD.,Melaka,75450,606-2321399,"NO. 13, JALAN TASIK UTAMA 52, KAWASAN PERINDUSTRIAN TASIK UTAMA, , AYER KEROH",2026,1503
MALLP20260899,VOLTEN ASIAEMALL SDN BHD,Selangor,40000,0139887018,"24, Jalan Nilam 1/1, Taman Teknologi Tinggi Subang, , SHAH ALAM",2026,1178523
MALLP20260957,SYARIKAT MUTIARA,Kelantan,18500,0139006281,"LOT 2455, JALAN WIRA 1, BATU 25, , , MACHANG",2026,6456
MALLP20260962,Biovonic Global Sdn. Bhd.,Selangor,43300,0395479321,"NO. 12, JALAN BALAKONG JAYA 6, TAMAN INDUSTRI BALAKONG JAYA, SERI KEMBANGAN",2026,1318361
MALLP20261339,DYNAPHARM HERBAL (M) SDN. BHD.,Pulau Pinang,13600,04-3974702,"LOT 4823, MK. 1, LORONG PERUSAHAAN BARU 5, KAWASAN PERUSAHAAN PERAI 3, , PERAI",2026,1631
MALLP20261119,BIOFACT LIFE SDN. BHD.,Johor,84150,06-9872588,"LOT 5094, KAWASAN PERINDUSTRIAN PARIT JAMIL, , , MUAR",2026,7690
MALLP20260968,MORETH SDN. BHD.,Selangor,47620,603-80262749,"NO. 11, TINGKAT 1, JALAN TP 5, TAMAN PERINDUSTRIAN UEP, , SUBANG JAYA",2026,4120
MALLP20260959,C.K.C Biopharma Sdn Bhd,Pulau Pinang,11900,04-6425577,"PLOT 63, LINTANG BAYAN LEPAS 1, , BAYAN LEPAS INDUSTRIAL PARK IV,, , BAYAN LEPAS",2026,56341
MALLP20260950,PB NATUR SDN. BHD.,W.P. Kuala Lumpur,52200,03-62744846,"NO. 13, JALAN KIP 10, TAMAN PERINDUSTRIAN KIP, , , KEPONG",2026,1019729
MALLP20261120,ALPHA ACTIVE INDUSTRIES SDN BHD,Selangor,47100,0380667763,"No. 3, Jalan PPU 2, Taman Perindustrian Puchong Utama, , PUCHONG",2026,1000081
MALLP20261494,Gas Pantai Timur Sdn Bhd,Selangor,47100,01112268473,"No. 34, Jalan TPP 5/5, Taman Perindustrian Puchong, , PUCHONG",2026,1326190
MALLP20260898,NUTROGREEN HEALTH INDUSTRIES SDN BHD,Negeri Sembilan,71450,016-7170568,"NO. 36 & 37, JALAN TJ 1/4A, KAWASAN INDUSTRI TUANKU JAAFAR 1, , SUNGAI GADUT",2026,999853
MALLP20260953A,Nam Pharma Sdn. Bhd.,Perak,31200,"+605-2931838, 2931839","5, Lebuh Perusahaan Klebang 11, Taman Perindustrian Antarabangsa IGB, , , CHEMOR",2026,1020107
MALLP20261113A,INSPIRAPHARMA SDN. BHD.,Perak,32610,03-33429999,"LOT 120, TAMAN FARMASEUTIKAL, BANDAR SERI ISKANDAR, , SERI ISKANDAR",2026,1115297
MALLP20260954,RPM HERBS INDUSTRIES,Kelantan,18500,0139336700,"PT1151, KG BATU 23,, JALAN DEWAN BESAR, LABOK, , MACHANG",2026,7921
MALLP20261337,Matang Packaging Sdn.Bhd.,W.P. Kuala Lumpur,52100,603 62743307,"2D-11, TINGKAT 2, ANZEN BUSINESS PARK, 3-9 KEPONG, JALAN 4/37A, KAWASAN PERUSAHAAN TAMAN BUKIT MALURI, KUALA LUMPUR",2026,53172
MALLP20260869,MAH TAI CHINESE MEDICINE REFINERY,Perak,30100,05-5262169,"NO. 1, SOLOK RISHAH 2, KAWASAN PERINDUSTRIAN SILIBIN, , IPOH",2026,1981
MALLP20260863,FERNO INDUSTRIES SDN. BHD.,Selangor,47000,01161576388,"2206A, JALAN KUSTA, KAMPONG JAYA INDUSTRIAL AREA, , SUNGAI BULOH",2026,1019538
MALLP20260728,Syarikat Minyak Afiat Sdn Bhd,Perak,33000,05-7764677,"Lot 4022, Batu 30, Jalan Ipoh, , KUALA KANGSAR",2026,1438
MALLP20260643,WENG SENG HENG MEDICAL FACTORY SDN. BHD.,Pulau Pinang,11900,04-6110621,"95, SOLOK BAYAN LEPAS, TAMAN PERINDUSTRIAN BAYAN LEPAS, FASA IV, , BAYAN LEPAS",2026,1142413
MALLP20260870A,TRANZ ALLIANCE (M) SDN. BHD.,Selangor,40300,03-5548 1987,"Tingkat 3, (Blok 5), No. 12, Lot 364, Persiaran Perusahaan, Seksyen 23, SHAH ALAM",2026,1310112
MALLP20260642,WAHISHAM DELIMA SDN. BHD.,Melaka,78000,06-5561354,"LOT 20, AG 9336, KAWASAN PERINDUSTRIAN ALOR GAJAH, , ALOR GAJAH",2026,56858
MALLP20260644,BIOGENE R&D SDN BHD,Selangor,47100,0380607962,"NO. 1, JALAN UTAMA 2/16, TAMAN PERINDUSTRIAN PUCHONG UTAMA, , PUCHONG",2026,1019695
MALLP20260637,LJACK (M) SDN BHD,Selangor,43500,03-87246064,"NO. 6, JALAN MEGA B, TAMAN INDUSTRI MEGA, , SEMENYIH",2026,1270525
MALLP20260634,DELIMA R&D SDN.BHD,Selangor,47100,03-8060 7962,"NO. 14 & 16, JALAN INDUSTRI MAS 5,TAMAN MAS SEPANG, , , PUCHONG",2026,1041349
