reg_no,ref_no,product,status,description,holder,holder_osa,manufacturer,manufacturer_osa,importer,importer_osa,date_reg,date_end,active_ingredient,mdc_code,generic_name
MAL11060053TC,2010061693849,U-PINEX  Jung Cao Plus Cough Mixture,PRODUCT APPROVED,NATURAL PRODUCT,U-PIN MEDIC TRADING SDN. BHD.,4447,QD HERBS SDN. BHD.,75242,,,2021-06-25,2026-06-25,"SCLEROTIUM PORIA COCOS[50;mg;5;ml],Radix Trichosanthes kirilowii[50;mg;5;ml],Radix Platycodon gradiflorum[15;mg;5;ml],Pericarpium Citrus reticulata.[30;mg;5;ml],Ganoderma Lucidum seu Japonicum[5;mg;5;ml],Fructus Trichonsanthes kirilowii[55;mg;5;ml],Bulbus Fritillaria cirrhosa[60;mg;5;ml],Cordyceps Sinensis[5;mg;5;ml]",,
MAL11060072X,2010042066623,Hovid Policosavid,PRODUCT APPROVED,HEALTH SUPPLEMENT,HOVID BERHAD,794,HOVID BERHAD,792,,,2021-06-25,2026-06-25,Policosanol[11.00;mg;690.857;mg],,
MAL11060044TC,2010040157233,Jamu Habbatus Sauda Plus,PRODUCT APPROVED,NATURAL PRODUCT,Aula Herba,53359,SERI MH UMMI SDN BHD,4481,,,2021-06-25,2026-06-25,"Sesbania grandiflora Folium[125;mg;500;mg],NIGELLA SATIVA SEMEN[250;mg;500;mg],moringa oleifera semen[125;mg;500;mg]",,
MAL11060067XC,2010021238768,Shine Oramin Natural Korean Ginseng + Royal Jelly with Multivitamins and Minerals.,PRODUCT APPROVED,HEALTH SUPPLEMENT,Y.S.P. INDUSTRIES (M) SDN. BHD.,80,SUHEUNG CAPSULE CO. LTD.,74926,Y.S.P. INDUSTRIES (M) SDN. BHD.,79.0,2021-06-25,2026-06-25,"Royal Jelly[10.0;mg;1,731;mg],FERROUS FUMARATE[27.38;mg;1,731;mg],Riboflavin[2.0;mg;1,731;mg],ASCORBIC ACID[100.0;mg;1,731;mg],Magnesium Oxide[66.34;mg;1,731;mg],Cyanocobalamin[0.006;mg;1,731;mg],cupric sulfate[7.86;mg;1,731;mg],Calcium Pantothenate[30.0;mg;1,731;mg],Potassium Sulfate[18.0;mg;1,731;mg],Retinol Palmitate[2.5;mg;1,731;mg],Dibasic calcium phosphate[307.5;mg;1,731;mg],PANAX GINSENG[50.0;mg;1,731;mg],Zinc Oxide[5.0;mg;1,731;mg],nicotinamide.[20.0;mg;1,731;mg],Thiamine Nitrate[2.0;mg;1,731;mg],Manganese Sulfate[3.0;mg;1,731;mg],Ergocalciferol[0.47;mg;1,731;mg],dl-alpha-tocopherol acetate[45.0;mg;1,731;mg],Pyridoxine HCI[2.0;mg;1,731;mg]",,
MAL11060065X,2009052637978,hovid Lipovid,PRODUCT APPROVED,HEALTH SUPPLEMENT,HOVID BERHAD,794,HOVID BERHAD,792,,,2021-06-25,2026-06-25,"d-Alpha Tocopherol (Vitamin E)[50.00;mg;1318.98;mg],ALPHA LIPOIC ACID[500.00;mg;1318.98;mg]",,
MAL11060054TC,2010061794205,U-PINEX CoughCare,PRODUCT APPROVED,NATURAL PRODUCT,U-PIN MEDIC TRADING SDN. BHD.,4447,QD HERBS SDN. BHD.,75242,,,2021-06-25,2026-06-25,"Semen Trichosanthes Kirilowii[100;mg;5;ml],Semen Prunus armeniaca L.[50;mg;5;ml],SCLEROTIUM PORIA COCOS[50;mg;5;ml],Rhizoma arisaema erubescens[75;mg;5;ml],Fructus Momordicae Grosvenori[100;mg;5;ml],FRUCTUS AURANTII IMMATURUS[50;mg;5;ml],Exocarpium Citrus Grandis[50;mg;5;ml],Radix platycodon grandiflorum[50;mg;5;ml],Radix Scutellaria Baicalensis[50;mg;5;ml],Bulbus Fritillaria cirrhosa[50;mg;5;ml]",,
MAL11060039TC,2010062598600,Bio Spektra Manna-Plus Capsule 250mg,PRODUCT APPROVED,NATURAL PRODUCT,AK PHARMACY & NATUROPATHY CENTER,2797,SARI TANI DESA SDN. BHD.,1109827,,,2021-07-01,2026-07-01,"RADIX  ZINGIBER OFFICINALE[35;mg;250;mg],NIGELLA SATIVA  SEMEN[30;mg;250;mg],Cuminum Cyminum Semen[30;mg;250;mg],Coffea Arabica (Coffee Seed)[30;mg;250;mg],Anethum Graveolans Semen[35;mg;250;mg],Allium sativum (Garlic) bulb powder[30;mg;250;mg],Allium cepa (Onion) bulb powder[30;mg;250;mg],Flos syzygium aromatica[30;mg;250;mg]",,
MAL11065007TC,201008230002T,JAMU RAHSIA KAPSUL RESDUNG 400mg,PRODUCT APPROVED,NATURAL PRODUCT,SABIT BANANI INDUSTRIES SDN BHD,9524,SABIT BANANI INDUSTRIES SDN BHD,1019872,,,2021-07-01,2026-07-01,"Nigella sativa[110mg;400mg],Pogostemon cablin[90mg;400mg],Mimusops elengi[70mg;400mg],Kaempferia galanga[50mg;400mg],Piper betle[50mg;400mg],Piper cubeba[30mg;400mg]",,
MAL06011692ASZ,2004080780737,Tobumide Tablet,PRODUCT APPROVED,PRESCRIPTION,SUNWARD PHARMACEUTICAL SDN. BHD.,612,SUNWARD PHARMACEUTICAL SDN. BHD.,610,,,2021-07-01,2026-07-01,TOLBUTAMIDE[500;mg;;],A10BB03-000-T10-01-003,Tolbutamide 500mg Tablet
MAL21076025XCE,202102154935XE,Bibi's Care Gripe Water,PRODUCT APPROVED,NON PRESCRIPTION,DCH AURIGA (MALAYSIA) SDN. BHD.,4912,DCH CONTRACT MANUFACTURING SDN. BHD.,5415,,,2021-07-01,2026-07-01,"DILL SEED OIL/DILL OIL[0.046 gm,100 ml],SODIUM BICARBONATE[1.050 gm,100 ml]",,
MAL06061651T,2005112476291,GNC Herbal Plus Bilberry Extract 60 mg Capsule,PRODUCT APPROVED,NATURAL PRODUCT,ONI Global (Malaysia) Sdn Bhd,933482,Nutra Manufacturing LLC,1144910,ONI Global (Malaysia) Sdn Bhd,934710.0,2021-07-01,2026-07-01,Bilberry (Vaccinium Myrtillus) Extract[60.000;mg;300.000;mg],,
MAL16065051AZ,201310232012A,CLAVIX 75MG TABLETS,PRODUCT APPROVED,PRESCRIPTION,ACCORD HEALTHCARE SDN.BHD.,943125,INTAS PHARMACEUTICALS LIMITED,1148491,AIPHARMA HEALTHCARE SDN BHD,1333213.0,2021-07-01,2026-07-01,CLOPIDOGREL BISULPHATE[97.875mg;0],B01AC04-183-T10-01-001,
MAL06051555T,2005112977143,Kapsul Gamat Mengkudu Plus 300mg,PRODUCT APPROVED,NATURAL PRODUCT,SYARIKAT ZULKIFLI BAMADHAJ,2160,SYARIKAT ZULKIFLI BAMADHAJ,1144472,,,2021-07-01,2026-07-01,"Acorus calamus[10;mg;300;mg],Piper nigrum[15;mg;300;mg],Stichopus variegatus[75;mg;300;mg],Trachyspermum ammi[10;mg;300;mg],Zingiber officinale[30;mg;300;mg],Nigella Sativa.[45;mg;300;mg],CORRIANDRUM SATIVUM[25;mg;300;mg],Fructus Morinda Citrifolia[75;mg;300;mg],Trigonella foenum graecum seed[15;mg;300;mg]",,
MAL06061412X,2006020804974,GNC Lycopene 15mg,PRODUCT APPROVED,HEALTH SUPPLEMENT,GNC LIVEWELL MALAYSIA SDN. BHD.,1273863,NUTRA MANUFACTURING INC,7673,ONI Global (Malaysia) Sdn Bhd,934710.0,2021-07-01,2026-07-01,Lycopene[15.000;mg;;0],,
MAL06061461T,2005121379586,BIO MANGOSTEEN EXTRACT,PRODUCT APPROVED,NATURAL PRODUCT,QD HERBS SDN. BHD.,3146,QD HERBS SDN. BHD.,75242,,,2021-07-01,2026-07-01,Garcinia mangostana[450;mg;450;mg],,
MAL06051487T,2005121379678,Ma'ajun Mas Cotek Serapat Plus,PRODUCT APPROVED,NATURAL PRODUCT,SYARIKAT ZULKIFLI BAMADHAJ,2160,SYARIKAT ZULKIFLI BAMADHAJ,1144472,,,2021-07-01,2026-07-01,"Coriandrum sativum[0.15;g;5;g],Croton caudatum[0.2;g;5;g],Ficus deltoidea[0.4;g;5;g],Parameria laevigata[0.3;g;5;g],Piper longum[0.1;g;5;g],Trachyspermum ammi[0.1;g;5;g],Rhizoma Zingiber officinale.[0.2;g;5;g],Nigella Sativa.[0.15;g;5;g],LABISIA PATHOINA[0.2;g;5;g],Allomorphia malacensis[0.1;g;5;g],Trigonella foenum graecum seed[0.1;g;5;g]",,
